Numero de elementos         Media de tiempos reales
100              116.2
110              160.44
120              192.888
130              239.178
140              263.436
150              297.287
160              409.257
170              394.251
180              428.85
190              486.97
200              568.594
210              604.119
220              653.024
230              733.205
240              773.841
250              1423.17
260              1051.83
270              1029.57
280              1085.31
290              1205.46
300              1218.29
310              1456.06
320              1426.81
330              1617.36
340              1570.07
350              1654.61
360              1780.12
370              1874.22
380              1976.44
390              2262.49
400              2392.1
410              2339.62
420              2367.52
430              2499.9
440              2621.78
450              2774.96
460              2880.99
470              3018.4
480              3165.68
490              3292.74
500              3437.35
510              3549.67
520              3714.93
530              3869.59
540              4261.12
550              4219.82
560              4365.56
570              4506.31
580              4670.06
590              4848.41
600              4985.08
610              5159.42
620              5307.28
630              5518.06
640              5722.41
650              5870.88
660              6043.78
670              6215.56
680              6931.51
690              6728.3
700              6835.66
710              7071.13
720              7183.03
730              7400.61
740              7602.52
750              7802.9
760              8024.38
770              8283.28
780              8554.46
790              8788.09
800              9524.62
810              9991.72
820              10387.5
830              10645.9
840              11043.2
850              11742.8
860              11450
870              11800.8
880              14622.6
890              14379.3
900              13154.7
910              12310.3
920              12373.1
930              15742.4
940              17282.3
950              19227.3
960              18074.9
970              15334.2
980              18081.2
990              19001.2
1000              16142.7
