Tamano Ejemplar  Tiempo Real    Tiempos Estimados
10000    5729  -5.97638e+06
20000    19096  -5.67951e+06
30000    43696  -5.36798e+06
40000    67811  -5.04693e+06
50000    95694  -4.7188e+06
60000    130313  -4.38504e+06
70000    173019  -4.04658e+06
80000    221483  -3.7041e+06
90000    276316  -3.35812e+06
100000    338852  -3.00901e+06
110000    406230  -2.6571e+06
120000    480769  -2.30264e+06
130000    566280  -1.94584e+06
140000    660634  -1.58688e+06
150000    759648  -1.22592e+06
160000    864452  -863092
170000    974930  -498511
180000    1.09134e+06  -132281
190000    1.21693e+06  235506
200000    1.3465e+06  604768
210000    1.48136e+06  975431
220000    1.62258e+06  1.34743e+06
230000    1.77673e+06  1.7207e+06
240000    1.93414e+06  2.09519e+06
250000    2.10272e+06  2.47085e+06
260000    2.28362e+06  2.84763e+06
270000    2.47356e+06  3.22548e+06
280000    2.6678e+06  3.60438e+06
290000    2.86998e+06  3.98427e+06
300000    3.0799e+06  4.36514e+06
310000    3.2961e+06  4.74693e+06
320000    3.51875e+06  5.12963e+06
330000    3.7456e+06  5.51321e+06
340000    3.97934e+06  5.89763e+06
350000    4.22472e+06  6.28288e+06
360000    4.47134e+06  6.66893e+06
370000    4.72874e+06  7.05575e+06
380000    4.98816e+06  7.44334e+06
390000    5.25652e+06  7.83166e+06
400000    5.52968e+06  8.2207e+06
410000    5.81169e+06  8.61044e+06
420000    6.10009e+06  9.00086e+06
430000    6.39704e+06  9.39196e+06
440000    6.69988e+06  9.7837e+06
450000    7.00974e+06  1.01761e+07
460000    7.32711e+06  1.05691e+07
470000    7.65437e+06  1.09627e+07
480000    7.99025e+06  1.13569e+07
490000    8.36317e+06  1.17517e+07
500000    8.72751e+06  1.21471e+07
510000    9.1029e+06  1.2543e+07
520000    9.49767e+06  1.29394e+07
530000    9.89162e+06  1.33365e+07
540000    1.02944e+07  1.3734e+07
550000    1.07086e+07  1.41321e+07
560000    1.11231e+07  1.45306e+07
570000    1.15458e+07  1.49297e+07
580000    1.19775e+07  1.53293e+07
590000    1.24153e+07  1.57293e+07
600000    1.28707e+07  1.61298e+07
610000    1.33223e+07  1.65308e+07
620000    1.37836e+07  1.69322e+07
630000    1.42494e+07  1.73341e+07
640000    1.47222e+07  1.77365e+07
650000    1.52018e+07  1.81393e+07
660000    1.5692e+07  1.85425e+07
670000    1.61864e+07  1.89461e+07
680000    1.6687e+07  1.93502e+07
690000    1.71984e+07  1.97546e+07
700000    1.77284e+07  2.01595e+07
710000    1.8268e+07  2.05648e+07
720000    1.88177e+07  2.09704e+07
730000    1.93712e+07  2.13765e+07
740000    1.99329e+07  2.17829e+07
750000    2.04862e+07  2.21897e+07
760000    2.10539e+07  2.25969e+07
770000    2.16365e+07  2.30045e+07
780000    2.22573e+07  2.34124e+07
790000    2.30404e+07  2.38207e+07
800000    2.38871e+07  2.42293e+07
810000    2.47209e+07  2.46383e+07
820000    2.5531e+07  2.50476e+07
830000    2.63212e+07  2.54573e+07
840000    2.70962e+07  2.58673e+07
850000    2.78626e+07  2.62777e+07
860000    2.86248e+07  2.66883e+07
870000    2.93793e+07  2.70993e+07
880000    3.01341e+07  2.75107e+07
890000    3.08813e+07  2.79223e+07
900000    3.16221e+07  2.83343e+07
910000    3.23693e+07  2.87465e+07
920000    3.31166e+07  2.91591e+07
930000    3.38625e+07  2.9572e+07
940000    3.46122e+07  2.99852e+07
950000    3.54007e+07  3.03986e+07
960000    3.61745e+07  3.08124e+07
970000    3.69624e+07  3.12265e+07
980000    3.7762e+07  3.16408e+07
990000    3.85503e+07  3.20555e+07
1e+06    3.93448e+07  3.24704e+07
