Tamano Ejemplar  Tiempo Real    Tiempos Estimados
10000    5116  -3.47105e+06
20000    19394  -3.31535e+06
30000    47789  -3.15196e+06
40000    69404  -2.98358e+06
50000    93523  -2.81149e+06
60000    112742  -2.63644e+06
70000    132170  -2.45893e+06
80000    154050  -2.27931e+06
90000    179016  -2.09785e+06
100000    207650  -1.91476e+06
110000    239104  -1.73019e+06
120000    273927  -1.54428e+06
130000    311008  -1.35715e+06
140000    351780  -1.16889e+06
150000    396482  -979581
160000    446357  -789289
170000    497427  -598078
180000    554155  -406002
190000    611854  -213110
200000    670267  -19443.7
210000    731484  174958
220000    796580  370059
230000    864964  565828
240000    936638  762236
250000    1.01001e+06  959257
260000    1.0898e+06  1.15687e+06
270000    1.17077e+06  1.35504e+06
280000    1.25405e+06  1.55376e+06
290000    1.34078e+06  1.753e+06
300000    1.43033e+06  1.95275e+06
310000    1.52401e+06  2.15299e+06
320000    1.62218e+06  2.3537e+06
330000    1.73803e+06  2.55488e+06
340000    1.84026e+06  2.75649e+06
350000    1.94368e+06  2.95855e+06
360000    2.05049e+06  3.16102e+06
370000    2.16969e+06  3.36389e+06
380000    2.28368e+06  3.56717e+06
390000    2.40033e+06  3.77083e+06
400000    2.52039e+06  3.97487e+06
410000    2.64674e+06  4.17928e+06
420000    2.77626e+06  4.38404e+06
430000    2.92556e+06  4.58916e+06
440000    3.06672e+06  4.79461e+06
450000    3.201e+06  5.00041e+06
460000    3.35073e+06  5.20652e+06
470000    3.53565e+06  5.41296e+06
480000    3.68387e+06  5.61971e+06
490000    3.83981e+06  5.82676e+06
500000    4.01326e+06  6.03412e+06
510000    4.17045e+06  6.24177e+06
520000    4.33104e+06  6.4497e+06
530000    4.50794e+06  6.65792e+06
540000    4.67709e+06  6.86642e+06
550000    4.84713e+06  7.07519e+06
560000    5.03184e+06  7.28423e+06
570000    5.20477e+06  7.49353e+06
580000    5.38091e+06  7.70308e+06
590000    5.56752e+06  7.91289e+06
600000    5.75179e+06  8.12295e+06
610000    5.95446e+06  8.33325e+06
620000    6.14421e+06  8.5438e+06
630000    6.35132e+06  8.75458e+06
640000    6.55161e+06  8.9656e+06
650000    6.75421e+06  9.17684e+06
660000    6.95651e+06  9.38831e+06
670000    7.1725e+06  9.6e+06
680000    7.37712e+06  9.81192e+06
690000    7.5944e+06  1.0024e+07
700000    7.81326e+06  1.02364e+07
710000    8.04639e+06  1.04489e+07
720000    8.28368e+06  1.06617e+07
730000    8.50384e+06  1.08747e+07
740000    8.74392e+06  1.10878e+07
750000    8.97414e+06  1.13012e+07
760000    9.20811e+06  1.15147e+07
770000    9.4565e+06  1.17285e+07
780000    1.03718e+07  1.19424e+07
790000    1.10784e+07  1.21566e+07
800000    1.13797e+07  1.23709e+07
810000    1.22065e+07  1.25854e+07
820000    1.28294e+07  1.28001e+07
830000    1.33337e+07  1.30149e+07
840000    1.39896e+07  1.323e+07
850000    1.44511e+07  1.34452e+07
860000    1.47488e+07  1.36606e+07
870000    1.51232e+07  1.38761e+07
880000    1.56466e+07  1.40918e+07
890000    1.64419e+07  1.43077e+07
900000    1.74173e+07  1.45238e+07
910000    1.77621e+07  1.474e+07
920000    1.82537e+07  1.49564e+07
930000    1.88582e+07  1.51729e+07
940000    1.94176e+07  1.53896e+07
950000    1.99032e+07  1.56065e+07
960000    2.03478e+07  1.58235e+07
970000    2.07482e+07  1.60407e+07
980000    2.11106e+07  1.6258e+07
990000    2.14318e+07  1.64755e+07
1e+06    2.24219e+07  1.66931e+07
