Numero Elementos       Media de tiempos reales
10000    5729
20000    19096
30000    43696
40000    67811
50000    95694
60000    130313
70000    173019
80000    221483
90000    276316
100000    338852
110000    406230
120000    480769
130000    566280
140000    660634
150000    759648
160000    864452
170000    974930
180000    1.09134e+06
190000    1.21693e+06
200000    1.3465e+06
210000    1.48136e+06
220000    1.62258e+06
230000    1.77673e+06
240000    1.93414e+06
250000    2.10272e+06
260000    2.28362e+06
270000    2.47356e+06
280000    2.6678e+06
290000    2.86998e+06
300000    3.0799e+06
310000    3.2961e+06
320000    3.51875e+06
330000    3.7456e+06
340000    3.97934e+06
350000    4.22472e+06
360000    4.47134e+06
370000    4.72874e+06
380000    4.98816e+06
390000    5.25652e+06
400000    5.52968e+06
410000    5.81169e+06
420000    6.10009e+06
430000    6.39704e+06
440000    6.69988e+06
450000    7.00974e+06
460000    7.32711e+06
470000    7.65437e+06
480000    7.99025e+06
490000    8.36317e+06
500000    8.72751e+06
510000    9.1029e+06
520000    9.49767e+06
530000    9.89162e+06
540000    1.02944e+07
550000    1.07086e+07
560000    1.11231e+07
570000    1.15458e+07
580000    1.19775e+07
590000    1.24153e+07
600000    1.28707e+07
610000    1.33223e+07
620000    1.37836e+07
630000    1.42494e+07
640000    1.47222e+07
650000    1.52018e+07
660000    1.5692e+07
670000    1.61864e+07
680000    1.6687e+07
690000    1.71984e+07
700000    1.77284e+07
710000    1.8268e+07
720000    1.88177e+07
730000    1.93712e+07
740000    1.99329e+07
750000    2.04862e+07
760000    2.10539e+07
770000    2.16365e+07
780000    2.22573e+07
790000    2.30404e+07
800000    2.38871e+07
810000    2.47209e+07
820000    2.5531e+07
830000    2.63212e+07
840000    2.70962e+07
850000    2.78626e+07
860000    2.86248e+07
870000    2.93793e+07
880000    3.01341e+07
890000    3.08813e+07
900000    3.16221e+07
910000    3.23693e+07
920000    3.31166e+07
930000    3.38625e+07
940000    3.46122e+07
950000    3.54007e+07
960000    3.61745e+07
970000    3.69624e+07
980000    3.7762e+07
990000    3.85503e+07
1e+06    3.93448e+07
