Numero Elementos       Media de tiempos reales
10000    5116
20000    19394
30000    47789
40000    69404
50000    93523
60000    112742
70000    132170
80000    154050
90000    179016
100000    207650
110000    239104
120000    273927
130000    311008
140000    351780
150000    396482
160000    446357
170000    497427
180000    554155
190000    611854
200000    670267
210000    731484
220000    796580
230000    864964
240000    936638
250000    1.01001e+06
260000    1.0898e+06
270000    1.17077e+06
280000    1.25405e+06
290000    1.34078e+06
300000    1.43033e+06
310000    1.52401e+06
320000    1.62218e+06
330000    1.73803e+06
340000    1.84026e+06
350000    1.94368e+06
360000    2.05049e+06
370000    2.16969e+06
380000    2.28368e+06
390000    2.40033e+06
400000    2.52039e+06
410000    2.64674e+06
420000    2.77626e+06
430000    2.92556e+06
440000    3.06672e+06
450000    3.201e+06
460000    3.35073e+06
470000    3.53565e+06
480000    3.68387e+06
490000    3.83981e+06
500000    4.01326e+06
510000    4.17045e+06
520000    4.33104e+06
530000    4.50794e+06
540000    4.67709e+06
550000    4.84713e+06
560000    5.03184e+06
570000    5.20477e+06
580000    5.38091e+06
590000    5.56752e+06
600000    5.75179e+06
610000    5.95446e+06
620000    6.14421e+06
630000    6.35132e+06
640000    6.55161e+06
650000    6.75421e+06
660000    6.95651e+06
670000    7.1725e+06
680000    7.37712e+06
690000    7.5944e+06
700000    7.81326e+06
710000    8.04639e+06
720000    8.28368e+06
730000    8.50384e+06
740000    8.74392e+06
750000    8.97414e+06
760000    9.20811e+06
770000    9.4565e+06
780000    1.03718e+07
790000    1.10784e+07
800000    1.13797e+07
810000    1.22065e+07
820000    1.28294e+07
830000    1.33337e+07
840000    1.39896e+07
850000    1.44511e+07
860000    1.47488e+07
870000    1.51232e+07
880000    1.56466e+07
890000    1.64419e+07
900000    1.74173e+07
910000    1.77621e+07
920000    1.82537e+07
930000    1.88582e+07
940000    1.94176e+07
950000    1.99032e+07
960000    2.03478e+07
970000    2.07482e+07
980000    2.11106e+07
990000    2.14318e+07
1e+06    2.24219e+07
